PWGTP,PERNP,AGEP,COW,QTRBIR,SEX,RAC1P,SCHL,JWTRNS
11,0,22,2,1,1,1,19,0
46,15800,18,1,3,1,1,16,0
3,0,46,0,2,1,1,19,0
12,0,62,0,3,2,1,14,0
73,0,86,0,2,2,2,16,0
24,0,71,0,1,2,1,16,0
8,0,71,0,4,2,2,6,0
11,0,76,0,1,1,1,22,0
69,0,52,0,2,1,1,16,0
11,0,59,0,4,1,1,16,0
10,0,61,0,2,1,1,18,0
67,0,28,0,1,2,2,15,0
8,0,49,0,2,1,1,21,0
43,600,19,6,1,1,1,19,0
36,1200,21,4,2,2,1,16,10
38,0,76,0,1,1,1,22,0
35,0,35,0,1,1,2,17,0
60,0,74,0,2,2,2,16,0
26,0,43,0,3,2,1,1,0
79,0,73,0,3,2,2,16,0
15,0,49,0,3,2,1,21,0
13,0,48,0,4,1,2,15,0
50,0,57,0,2,1,1,21,0
41,3800,57,1,1,1,1,16,1
11,42000,24,1,3,1,2,19,1
64,1200,19,1,2,2,1,19,0
67,0,46,0,2,1,2,11,0
29,2500,24,4,3,1,2,15,0
217,0,29,1,2,1,1,17,0
9,0,71,0,2,1,1,13,0
23,18300,21,1,4,1,1,19,10
9,0,95,0,1,2,2,16,0
5,0,62,0,3,2,1,14,0
82,0,38,0,4,1,1,13,0
24,0,50,1,3,1,1,16,0
74,0,28,0,2,1,2,17,0
70,43000,42,1,2,2,9,16,0
8,0,25,0,2,1,1,1,0
104,7200,22,1,2,1,2,13,0
43,5000,19,4,1,1,9,19,10
38,0,44,0,1,1,2,19,0
22,0,88,0,1,2,1,12,0
8,0,85,0,2,1,1,11,0
75,3000,21,1,2,2,2,19,1
21,0,39,0,1,1,1,16,0
86,4800,39,4,1,1,1,17,0
77,2500,33,4,1,2,1,16,0
58,8600,18,1,2,2,1,16,10
45,0,26,0,4,1,2,17,0
73,0,44,0,1,1,2,16,0
35,0,51,0,1,2,1,21,0
67,7000,19,1,3,2,1,19,10
63,0,60,0,1,1,9,12,0
81,0,25,0,3,1,2,13,0
23,0,19,0,3,1,2,19,0
118,0,61,0,2,1,2,16,0
13,0,36,5,4,1,1,22,0
9,3900,20,1,2,1,1,16,0
58,14700,21,1,1,1,4,19,11
13,0,60,0,1,1,1,12,0
70,10000,20,1,2,1,2,19,10
15,0,82,0,4,2,1,19,0
20,0,65,0,1,1,2,21,0
72,0,19,0,1,2,1,19,0
77,0,27,0,2,1,2,17,0
53,0,77,1,3,1,1,16,0
34,2000,18,2,3,2,1,18,0
5,2500,18,1,4,1,6,18,0
17,20,19,1,4,1,1,16,0
11,6400,21,1,3,2,2,15,2
19,18000,26,1,2,1,1,21,1
74,3000,19,1,3,1,2,19,0
14,0,73,0,3,2,1,16,0
14,0,67,0,4,1,1,18,0
37,4500,19,3,4,1,2,16,0
165,0,42,0,2,1,2,13,0
23,0,95,0,2,1,1,18,0
8,0,45,0,3,1,2,16,0
39,6000,18,1,1,1,2,20,1
82,0,95,0,2,1,1,16,0
33,0,19,0,4,2,2,16,0
25,0,27,0,3,1,1,16,0
5,0,56,0,2,1,1,15,0
33,0,80,0,4,1,1,18,0
64,0,63,0,1,1,1,19,0
4,0,46,0,2,1,2,16,0
14,0,78,0,2,2,2,16,0
12,110,51,1,2,2,2,19,1
68,3000,18,1,3,1,1,18,0
16,0,61,0,2,1,1,18,0
26,6800,20,5,3,1,1,19,0
26,0,74,0,3,1,1,16,0
62,12500,18,1,1,1,1,16,0
2,0,95,0,4,2,1,18,0
55,0,37,0,3,1,1,16,0
31,5000,22,4,3,2,9,20,11
50,5300,18,1,1,2,1,18,10
83,0,31,1,2,1,1,16,0
12,12400,58,4,4,2,1,16,2
95,3650,20,4,2,1,1,19,10
18,7200,33,4,3,1,9,14,0
23,1800,20,4,1,1,8,18,10
24,1100,32,1,3,1,1,14,0
13,0,95,0,1,1,1,19,0
12,0,31,5,1,2,2,12,0
73,36000,32,1,3,1,1,15,0
35,0,31,0,4,1,2,19,0
20,1200,45,4,2,1,2,17,0
28,0,76,0,3,1,1,16,0
75,12000,19,4,2,1,1,18,11
59,7700,19,1,3,1,1,19,0
6,0,55,0,4,1,1,16,0
14,9000,27,3,4,1,1,16,0
32,0,27,1,1,1,2,17,0
4,0,34,0,1,1,1,18,0
31,0,43,1,4,1,2,1,0
78,7000,18,1,2,1,9,16,10
8,0,89,0,1,1,1,15,0
59,43300,19,1,2,1,1,19,0
55,12500,18,1,1,1,1,16,0
76,4900,19,1,2,2,1,16,10
12,420,29,2,1,2,6,15,12
8,0,35,0,4,1,2,16,0
73,13000,21,4,3,1,1,19,10
78,0,95,0,2,1,1,18,0
16,0,67,0,4,2,9,20,0
65,7100,21,1,1,2,1,19,0
51,4000,19,1,1,1,1,19,0
31,4000,18,1,2,1,1,16,0
