WGTP,PWGTP,NOC,PERNP,AGEP,CPLT,COW,QTRBIR,SEX,HHL,TEN,RAC1P,SCHL,JWTRNS,ST,
0,11,-1,0,22,0,2,1,1,0,0,1,19,0,26,
0,46,-1,15800,18,0,1,3,1,0,0,1,16,0,26,
0,3,-1,0,46,0,0,2,1,0,0,1,19,0,26,
0,12,-1,0,62,0,0,3,2,0,0,1,14,0,26,
0,73,-1,0,86,0,0,2,2,0,0,2,16,0,26,
0,24,-1,0,71,0,0,1,2,0,0,1,16,0,26,
0,8,-1,0,71,0,0,4,2,0,0,2,6,0,26,
0,11,-1,0,76,0,0,1,1,0,0,1,22,0,26,
0,69,-1,0,52,0,0,2,1,0,0,1,16,0,26,
0,11,-1,0,59,0,0,4,1,0,0,1,16,0,26,
0,10,-1,0,61,0,0,2,1,0,0,1,18,0,26,
0,67,-1,0,28,0,0,1,2,0,0,2,15,0,26,
0,8,-1,0,49,0,0,2,1,0,0,1,21,0,26,
0,43,-1,600,19,0,6,1,1,0,0,1,19,0,26,
0,36,-1,1200,21,0,4,2,2,0,0,1,16,10,26,
0,38,-1,0,76,0,0,1,1,0,0,1,22,0,26,
0,35,-1,0,35,0,0,1,1,0,0,2,17,0,26,
0,60,-1,0,74,0,0,2,2,0,0,2,16,0,26,
0,26,-1,0,43,0,0,3,2,0,0,1,1,0,26,
0,79,-1,0,73,0,0,3,2,0,0,2,16,0,26,
0,15,-1,0,49,0,0,3,2,0,0,1,21,0,26,
0,13,-1,0,48,0,0,4,1,0,0,2,15,0,26,
0,50,-1,0,57,0,0,2,1,0,0,1,21,0,26,
0,41,-1,3800,57,0,1,1,1,0,0,1,16,1,26,
0,11,-1,42000,24,0,1,3,1,0,0,2,19,1,26,
0,64,-1,1200,19,0,1,2,2,0,0,1,19,0,26,
0,67,-1,0,46,0,0,2,1,0,0,2,11,0,26,
0,29,-1,2500,24,0,4,3,1,0,0,2,15,0,26,
0,217,-1,0,29,0,1,2,1,0,0,1,17,0,26,
0,9,-1,0,71,0,0,2,1,0,0,1,13,0,26,
0,23,-1,18300,21,0,1,4,1,0,0,1,19,10,26,
0,9,-1,0,95,0,0,1,2,0,0,2,16,0,26,
0,5,-1,0,62,0,0,3,2,0,0,1,14,0,26,
0,82,-1,0,38,0,0,4,1,0,0,1,13,0,26,
0,24,-1,0,50,0,1,3,1,0,0,1,16,0,26,
0,74,-1,0,28,0,0,2,1,0,0,2,17,0,26,
0,70,-1,43000,42,0,1,2,2,0,0,9,16,0,26,
0,8,-1,0,25,0,0,2,1,0,0,1,1,0,26,
0,104,-1,7200,22,0,1,2,1,0,0,2,13,0,26,
0,43,-1,5000,19,0,4,1,1,0,0,9,19,10,26,
0,38,-1,0,44,0,0,1,1,0,0,2,19,0,26,
0,22,-1,0,88,0,0,1,2,0,0,1,12,0,26,
0,8,-1,0,85,0,0,2,1,0,0,1,11,0,26,
0,75,-1,3000,21,0,1,2,2,0,0,2,19,1,26,
0,21,-1,0,39,0,0,1,1,0,0,1,16,0,26,
0,86,-1,4800,39,0,4,1,1,0,0,1,17,0,26,
0,77,-1,2500,33,0,4,1,2,0,0,1,16,0,26,
0,58,-1,8600,18,0,1,2,2,0,0,1,16,10,26,
0,45,-1,0,26,0,0,4,1,0,0,2,17,0,26,
0,73,-1,0,44,0,0,1,1,0,0,2,16,0,26,
0,35,-1,0,51,0,0,1,2,0,0,1,21,0,26,
0,67,-1,7000,19,0,1,3,2,0,0,1,19,10,26,
0,63,-1,0,60,0,0,1,1,0,0,9,12,0,26,
0,81,-1,0,25,0,0,3,1,0,0,2,13,0,26,
0,23,-1,0,19,0,0,3,1,0,0,2,19,0,26,
0,118,-1,0,61,0,0,2,1,0,0,2,16,0,26,
0,13,-1,0,36,0,5,4,1,0,0,1,22,0,26,
0,9,-1,3900,20,0,1,2,1,0,0,1,16,0,26,
0,58,-1,14700,21,0,1,1,1,0,0,4,19,11,26,
0,13,-1,0,60,0,0,1,1,0,0,1,12,0,26,
0,70,-1,10000,20,0,1,2,1,0,0,2,19,10,26,
0,15,-1,0,82,0,0,4,2,0,0,1,19,0,26,
0,20,-1,0,65,0,0,1,1,0,0,2,21,0,26,
0,72,-1,0,19,0,0,1,2,0,0,1,19,0,26,
0,77,-1,0,27,0,0,2,1,0,0,2,17,0,26,
0,53,-1,0,77,0,1,3,1,0,0,1,16,0,26,
0,34,-1,2000,18,0,2,3,2,0,0,1,18,0,26,
0,5,-1,2500,18,0,1,4,1,0,0,6,18,0,26,
0,17,-1,20,19,0,1,4,1,0,0,1,16,0,26,
0,11,-1,6400,21,0,1,3,2,0,0,2,15,2,26,
0,19,-1,18000,26,0,1,2,1,0,0,1,21,1,26,
0,74,-1,3000,19,0,1,3,1,0,0,2,19,0,26,
0,14,-1,0,73,0,0,3,2,0,0,1,16,0,26,
0,14,-1,0,67,0,0,4,1,0,0,1,18,0,26,
0,37,-1,4500,19,0,3,4,1,0,0,2,16,0,26,
0,165,-1,0,42,0,0,2,1,0,0,2,13,0,26,
0,23,-1,0,95,0,0,2,1,0,0,1,18,0,26,
